,k,max_lr_iterations,C,scale_factor,nfeatures,nlevels,edgeThreshold,firstLevel,WTA_K,patchSize,fastThreshold,precision_score,recall_score,f1_score,accuracy_score
139,50,3,0.01,1.2,30,4,10,1,3,40,30,0.0,0.0,0.0,0.8898488120950324
140,50,3,0.01,1.2,30,4,10,2,2,10,10,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
141,50,3,0.01,1.2,30,4,10,2,2,10,15,0.09503239740820735,1.0,0.17357001972386588,0.09503239740820735
142,50,3,0.01,1.2,30,4,10,2,2,10,20,0.0,0.0,0.0,0.8891288696904248
143,50,3,0.01,1.2,30,4,10,2,2,10,25,0.0,0.0,0.0,0.89056875449964
144,50,3,0.01,1.2,30,4,10,2,2,10,30,0.0,0.0,0.0,0.8912886969042476
145,50,3,0.01,1.2,30,4,10,2,2,15,10,0.0,0.0,0.0,0.8948884089272858
146,50,3,0.01,1.2,30,4,10,2,2,15,15,0.0,0.0,0.0,0.8977681785457163
147,50,3,0.01,1.2,30,4,10,2,2,15,20,0.0,0.0,0.0,0.8956083513318934
148,50,3,0.01,1.2,30,4,10,2,2,15,25,0.0,0.0,0.0,0.8948884089272858
149,50,3,0.01,1.2,30,4,10,2,2,15,30,0.0,0.0,0.0,0.8999280057595392
150,50,3,0.01,1.2,30,4,10,2,2,20,10,0.0,0.0,0.0,0.8992080633549316
151,50,3,0.01,1.2,30,4,10,2,2,20,15,0.0,0.0,0.0,0.8984881209503239
152,50,3,0.01,1.2,30,4,10,2,2,20,20,0.10583153347732181,1.0,0.19140624999999997,0.10583153347732181
153,50,3,0.01,1.2,30,4,10,2,2,20,25,0.09791216702663787,1.0,0.1783606557377049,0.09791216702663787
154,50,3,0.01,1.2,30,4,10,2,2,20,30,0.0,0.0,0.0,0.896328293736501
155,50,3,0.01,1.2,30,4,10,2,2,25,10,0.0,0.0,0.0,0.8776097912167027
156,50,3,0.01,1.2,30,4,10,2,2,25,15,0.0,0.0,0.0,0.8869690424766019
157,50,3,0.01,1.2,30,4,10,2,2,25,20,0.0,0.0,0.0,0.9056875449964003
158,50,3,0.01,1.2,30,4,10,2,2,25,25,0.0,0.0,0.0,0.9078473722102232
159,50,3,0.01,1.2,30,4,10,2,2,25,30,0.0,0.0,0.0,0.8898488120950324
160,50,3,0.01,1.2,30,4,10,2,2,30,10,0.0,0.0,0.0,0.8783297336213103
161,50,3,0.01,1.2,30,4,10,2,2,30,15,0.0,0.0,0.0,0.9028077753779697
162,50,3,0.01,1.2,30,4,10,2,2,30,20,0.0,0.0,0.0,0.896328293736501
163,50,3,0.01,1.2,30,4,10,2,2,30,25,0.0,0.0,0.0,0.8927285817134629
164,50,3,0.01,1.2,30,4,10,2,2,30,30,0.0,0.0,0.0,0.896328293736501
165,50,3,0.01,1.2,30,4,10,2,2,35,10,0.0,0.0,0.0,0.9006479481641468
166,50,3,0.01,1.2,30,4,10,2,2,35,15,0.0,0.0,0.0,0.8869690424766019
167,50,3,0.01,1.2,30,4,10,2,2,35,20,0.0,0.0,0.0,0.8855291576673866
168,50,3,0.01,1.2,30,4,10,2,2,35,25,0.0,0.0,0.0,0.904247660187185
169,50,3,0.01,1.2,30,4,10,2,2,35,30,0.0,0.0,0.0,0.8898488120950324
170,50,3,0.01,1.2,30,4,10,2,2,40,10,0.1029517638588913,1.0,0.18668407310704963,0.1029517638588913
171,50,3,0.01,1.2,30,4,10,2,2,40,15,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
172,50,3,0.01,1.2,30,4,10,2,2,40,20,0.0,0.0,0.0,0.9035277177825773
173,50,3,0.01,1.2,30,4,10,2,2,40,25,0.0,0.0,0.0,0.8920086393088553
174,50,3,0.01,1.2,30,4,10,2,2,40,30,0.0,0.0,0.0,0.8934485241180705
175,50,3,0.01,1.2,30,4,10,2,3,10,10,0.09719222462203024,1.0,0.17716535433070865,0.09719222462203024
176,50,3,0.01,1.2,30,4,10,2,3,10,15,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
177,50,3,0.01,1.2,30,4,10,2,3,10,20,0.09863210943124551,1.0,0.1795543905635649,0.09863210943124551
178,50,3,0.01,1.2,30,4,10,2,3,10,25,0.09863210943124551,1.0,0.1795543905635649,0.09863210943124551
179,50,3,0.01,1.2,30,4,10,2,3,10,30,0.09503239740820735,1.0,0.17357001972386588,0.09503239740820735
180,50,3,0.01,1.2,30,4,10,2,3,15,10,0.0,0.0,0.0,0.8876889848812095
181,50,3,0.01,1.2,30,4,10,2,3,15,15,0.10223182145428365,1.0,0.1854996734160679,0.10223182145428365
182,50,3,0.01,1.2,30,4,10,2,3,15,20,0.0892728581713463,1.0,0.16391275611368145,0.0892728581713463
183,50,3,0.01,1.2,30,4,10,2,3,15,25,0.0,0.0,0.0,0.8956083513318934
184,50,3,0.01,1.2,30,4,10,2,3,15,30,0.11591072714182865,1.0,0.20774193548387096,0.11591072714182865
185,50,3,0.01,1.2,30,4,10,2,3,20,10,0.0,0.0,0.0,0.8977681785457163
186,50,3,0.01,1.2,30,4,10,2,3,20,15,0.0,0.0,0.0,0.8992080633549316
187,50,3,0.01,1.2,30,4,10,2,3,20,20,0.0,0.0,0.0,0.8934485241180705
188,50,3,0.01,1.2,30,4,10,2,3,20,25,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
189,50,3,0.01,1.2,30,4,10,2,3,20,30,0.0,0.0,0.0,0.8999280057595392
190,50,3,0.01,1.2,30,4,10,2,3,25,10,0.0,0.0,0.0,0.8992080633549316
191,50,3,0.01,1.2,30,4,10,2,3,25,15,0.0,0.0,0.0,0.8840892728581713
192,50,3,0.01,1.2,30,4,10,2,3,25,20,0.0,0.0,0.0,0.8977681785457163
193,50,3,0.01,1.2,30,4,10,2,3,25,25,0.0,0.0,0.0,0.8992080633549316
194,50,3,0.01,1.2,30,4,10,2,3,25,30,0.0,0.0,0.0,0.8869690424766019
195,50,3,0.01,1.2,30,4,10,2,3,30,10,0.0,0.0,0.0,0.8948884089272858
196,50,3,0.01,1.2,30,4,10,2,3,30,15,0.0,0.0,0.0,0.8941684665226782
197,50,3,0.01,1.2,30,4,10,2,3,30,20,0.0,0.0,0.0,0.9049676025917927
198,50,3,0.01,1.2,30,4,10,2,3,30,25,0.0,0.0,0.0,0.9035277177825773
199,50,3,0.01,1.2,30,4,10,2,3,30,30,0.0,0.0,0.0,0.8941684665226782
200,50,3,0.01,1.2,30,4,10,2,3,35,10,0.0,0.0,0.0,0.8970482361411087
201,50,3,0.01,1.2,30,4,10,2,3,35,15,0.0,0.0,0.0,0.8984881209503239
202,50,3,0.01,1.2,30,4,10,2,3,35,20,0.0,0.0,0.0,0.8819294456443485
203,50,3,0.01,1.2,30,4,10,2,3,35,25,0.0,0.0,0.0,0.8948884089272858
204,50,3,0.01,1.2,30,4,10,2,3,35,30,0.0,0.0,0.0,0.8941684665226782
205,50,3,0.01,1.2,30,4,10,2,3,40,10,0.0,0.0,0.0,0.8876889848812095
206,50,3,0.01,1.2,30,4,10,2,3,40,15,0.0,0.0,0.0,0.8833693304535637
207,50,3,0.01,1.2,30,4,10,2,3,40,20,0.0,0.0,0.0,0.8927285817134629
208,50,3,0.01,1.2,30,4,10,2,3,40,25,0.0,0.0,0.0,0.8977681785457163
209,50,3,0.01,1.2,30,4,10,2,3,40,30,0.0,0.0,0.0,0.8970482361411087
210,50,3,0.01,1.2,30,4,15,0,2,10,10,0.0,0.0,0.0,0.884809215262779
211,50,3,0.01,1.2,30,4,15,0,2,10,15,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
212,50,3,0.01,1.2,30,4,15,0,2,10,20,0.11231101511879049,1.0,0.20194174757281552,0.11231101511879049
213,50,3,0.01,1.2,30,4,15,0,2,10,25,0.11231101511879049,1.0,0.20194174757281552,0.11231101511879049
214,50,3,0.01,1.2,30,4,15,0,2,10,30,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
215,50,3,0.01,1.2,30,4,15,0,2,15,10,0.0,0.0,0.0,0.8876889848812095
216,50,3,0.01,1.2,30,4,15,0,2,15,15,0.10727141828653708,1.0,0.19375812743823148,0.10727141828653708
217,50,3,0.01,1.2,30,4,15,0,2,15,20,0.10871130309575235,1.0,0.1961038961038961,0.10871130309575235
218,50,3,0.01,1.2,30,4,15,0,2,15,25,0.0964722822174226,1.0,0.17596848325673012,0.0964722822174226
219,50,3,0.01,1.2,30,4,15,0,2,15,30,0.10583153347732181,1.0,0.19140624999999997,0.10583153347732181
220,50,3,0.01,1.2,30,4,15,0,2,20,10,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
221,50,3,0.01,1.2,30,4,15,0,2,20,15,0.0,0.0,0.0,0.8948884089272858
222,50,3,0.01,1.2,30,4,15,0,2,20,20,0.0,0.0,0.0,0.896328293736501
223,50,3,0.01,1.2,30,4,15,0,2,20,25,0.0,0.0,0.0,0.8984881209503239
224,50,3,0.01,1.2,30,4,15,0,2,20,30,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
225,50,3,0.01,1.2,30,4,15,0,2,25,10,0.0,0.0,0.0,0.896328293736501
226,50,3,0.01,1.2,30,4,15,0,2,25,15,0.0,0.0,0.0,0.896328293736501
227,50,3,0.01,1.2,30,4,15,0,2,25,20,0.0,0.0,0.0,0.8862491000719942
228,50,3,0.01,1.2,30,4,15,0,2,25,25,0.0,0.0,0.0,0.8984881209503239
229,50,3,0.01,1.2,30,4,15,0,2,25,30,0.0,0.0,0.0,0.8948884089272858
230,50,3,0.01,1.2,30,4,15,0,2,30,10,0.10511159107271419,1.0,0.19022801302931594,0.10511159107271419
231,50,3,0.01,1.2,30,4,15,0,2,30,15,0.09287257019438445,1.0,0.1699604743083004,0.09287257019438445
232,50,3,0.01,1.2,30,4,15,0,2,30,20,0.11159107271418287,1.0,0.20077720207253885,0.11159107271418287
233,50,3,0.01,1.2,30,4,15,0,2,30,25,0.0,0.0,0.0,0.8934485241180705
234,50,3,0.01,1.2,30,4,15,0,2,30,30,0.0,0.0,0.0,0.8948884089272858
235,50,3,0.01,1.2,30,4,15,0,2,35,10,0.09719222462203024,1.0,0.17716535433070865,0.09719222462203024
236,50,3,0.01,1.2,30,4,15,0,2,35,15,0.0,0.0,0.0,0.8977681785457163
237,50,3,0.01,1.2,30,4,15,0,2,35,20,0.0,0.0,0.0,0.8855291576673866
238,50,3,0.01,1.2,30,4,15,0,2,35,25,0.0,0.0,0.0,0.8934485241180705
239,50,3,0.01,1.2,30,4,15,0,2,35,30,0.0,0.0,0.0,0.8992080633549316
240,50,3,0.01,1.2,30,4,15,0,2,40,10,0.10583153347732181,1.0,0.19140624999999997,0.10583153347732181
241,50,3,0.01,1.2,30,4,15,0,2,40,15,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
242,50,3,0.01,1.2,30,4,15,0,2,40,20,0.0,0.0,0.0,0.8977681785457163
243,50,3,0.01,1.2,30,4,15,0,2,40,25,0.10943124550035997,1.0,0.1972744970798183,0.10943124550035997
244,50,3,0.01,1.2,30,4,15,0,2,40,30,0.11447084233261338,1.0,0.2054263565891473,0.11447084233261338
245,50,3,0.01,1.2,30,4,15,0,3,10,10,0.1101511879049676,1.0,0.19844357976653695,0.1101511879049676
246,50,3,0.01,1.2,30,4,15,0,3,10,15,0.10151187904967603,1.0,0.18431372549019606,0.10151187904967603
247,50,3,0.01,1.2,30,4,15,0,3,10,20,0.09359251259899208,1.0,0.17116524028966426,0.09359251259899208
248,50,3,0.01,1.2,30,4,15,0,3,10,25,0.11663066954643629,1.0,0.20889748549323017,0.11663066954643629
249,50,3,0.01,1.2,30,4,15,0,3,10,30,0.10871130309575235,1.0,0.1961038961038961,0.10871130309575235
250,50,3,0.01,1.2,30,4,15,0,3,15,10,0.11879049676025918,1.0,0.21235521235521237,0.11879049676025918
251,50,3,0.01,1.2,30,4,15,0,3,15,15,0.0,0.0,0.0,0.8819294456443485
252,50,3,0.01,1.2,30,4,15,0,3,15,20,0.10439164866810655,1.0,0.18904823989569752,0.10439164866810655
253,50,3,0.01,1.2,30,4,15,0,3,15,25,0.10151187904967603,1.0,0.18431372549019606,0.10151187904967603
254,50,3,0.01,1.2,30,4,15,0,3,15,30,0.09503239740820735,1.0,0.17357001972386588,0.09503239740820735
255,50,3,0.01,1.2,30,4,15,0,3,20,10,0.0,0.0,0.0,0.8797696184305256
256,50,3,0.01,1.2,30,4,15,0,3,20,15,0.10655147588192944,1.0,0.1925829538061158,0.10655147588192944
257,50,3,0.01,1.2,30,4,15,0,3,20,20,0.09071274298056156,1.0,0.16633663366336635,0.09071274298056156
